district,date,month,year,visitors,Dates
Jangaon ,1/2/2017,February,2017,0,2/1/2017
Jangaon ,1/3/2017,March,2017,0,3/1/2017
Jangaon ,1/4/2017,April,2017,0,4/1/2017
Jangaon ,1/5/2017,May,2017,0,5/1/2017
Jangaon ,1/6/2017,June,2017,0,6/1/2017
Jangaon ,1/7/2017,July,2017,0,7/1/2017
Jangaon ,1/8/2017,August,2017,0,8/1/2017
Jangaon ,1/9/2017,September,2017,0,9/1/2017
Jangaon ,1/10/2017,October,2017,0,10/1/2017
Jangaon ,1/11/2017,November,2017,0,11/1/2017
Jangaon ,1/12/2017,December,2017,0,12/1/2017
Jayashankar Bhoopalpally,1/1/2017,January,2017,85,1/1/2017
Jayashankar Bhoopalpally,1/2/2017,February,2017,38,2/1/2017
Jayashankar Bhoopalpally,1/3/2017,March,2017,35,3/1/2017
Jayashankar Bhoopalpally,1/4/2017,April,2017,36,4/1/2017
Jayashankar Bhoopalpally,1/5/2017,May,2017,40,5/1/2017
Jayashankar Bhoopalpally,1/6/2017,June,2017,35,6/1/2017
Jayashankar Bhoopalpally,1/7/2017,July,2017,42,7/1/2017
Jayashankar Bhoopalpally,1/8/2017,August,2017,45,8/1/2017
Jayashankar Bhoopalpally,1/9/2017,September,2017,56,9/1/2017
Jayashankar Bhoopalpally,1/10/2017,October,2017,55,10/1/2017
Jayashankar Bhoopalpally,1/11/2017,November,2017,58,11/1/2017
Jayashankar Bhoopalpally,1/12/2017,December,2017,57,12/1/2017
Jogulamba Gadwal ,1/1/2017,January,2017,20,1/1/2017
Jogulamba Gadwal ,1/2/2017,February,2017,16,2/1/2017
Jogulamba Gadwal ,1/3/2017,March,2017,32,3/1/2017
Jogulamba Gadwal ,1/4/2017,April,2017,29,4/1/2017
Jogulamba Gadwal ,1/5/2017,May,2017,31,5/1/2017
Jogulamba Gadwal ,1/6/2017,June,2017,32,6/1/2017
Jogulamba Gadwal ,1/7/2017,July,2017,34,7/1/2017
Jogulamba Gadwal ,1/8/2017,August,2017,25,8/1/2017
Jogulamba Gadwal ,1/9/2017,September,2017,42,9/1/2017
Jogulamba Gadwal ,1/10/2017,October,2017,13,10/1/2017
Jogulamba Gadwal ,1/11/2017,November,2017,21,11/1/2017
Jogulamba Gadwal ,1/12/2017,December,2017,10,12/1/2017
Kamareddy ,1/1/2017,January,2017,0,1/1/2017
Kamareddy ,1/2/2017,February,2017,0,2/1/2017
Kamareddy ,1/3/2017,March,2017,0,3/1/2017
Kamareddy ,1/4/2017,April,2017,0,4/1/2017
Kamareddy ,1/5/2017,May,2017,0,5/1/2017
Kamareddy ,1/6/2017,June,2017,0,6/1/2017
Kamareddy ,1/7/2017,July,2017,0,7/1/2017
Kamareddy ,1/8/2017,August,2017,0,8/1/2017
Kamareddy ,1/9/2017,September,2017,0,9/1/2017
Kamareddy ,1/10/2017,October,2017,0,10/1/2017
Kamareddy ,1/11/2017,November,2017,0,11/1/2017
Kamareddy ,1/12/2017,December,2017,0,12/1/2017
Karimnagar ,1/1/2017,January,2017,0,1/1/2017
